ID,ROR,Website,Title,Synonyms
50662d03-24ee-4fd9-be96-f5459da4c660,,,ACDH,
30c6f4bb-cd78-4cd1-bf26-b20e52de16bb,,,ARTEMIS,
1c25dd08-a664-4f45-b46e-b47cb4ec4e18,,,Access 2 Perspectives,
650a31e0-ffbe-49df-9424-2f3fd56c9853,,,AfricArXiv,
faaec00f-155c-4360-8fcc-f0129cfebf91,,https://agdatacommons.nal.usda.gov,Ag Data Commons,
20897598-53bd-4b1b-a6b1-418a0f922e78,,https://agroknow.com,AgroKnow,
a74b0fe7-8754-49de-9489-2845bd7acbac,,https://www.aiddata.org,AidData,
010365a3-4578-402a-8329-4e4cb15d3837,,,BERD@NFDI,
7ecf1a3e-e377-4f5c-ac70-78d498951843,,,BERD@NFDI,
300f3716-59de-4994-a97c-c2f282c47166,,,BY-COVID,
8cd01866-7560-4701-ba4a-da3c939b9061,,,Base4NFDI,
b5c06193-c56c-4a69-b3a6-f546afb3db30,,,Berlin University Alliance,
7ea72974-9bcb-40f9-a115-b3b4c3919091,,https://www.bonares.de,Bonares,Boden als nachhaltige Ressource für die Bioökonomie - BonaRes
83fa92c4-a786-44f0-8ebb-f10b4cbd722b,04c4bm785,,CGIAR,CGIAR Platform for Big Data in Agriculture|CGIAR Research Program on Climate Change
f5d9ddba-7f7e-4014-b814-d933ca9e680a,,https://www.ifpri.org/partnership/international-center-tropical-agriculture-ciat/,CIAT,International Center for Tropical Agriculture
c32e448a-1c67-4548-a281-c32f7da08258,,,CLS INFRA,
83788ef9-f28c-4d4a-850f-c1e603305e2d,,,CLS INFRA,
b22987f6-9e1b-4d1c-ad65-cb5717afdaf6,,,CODATA,
6aed857d-bcb1-4032-afae-55de36790f9e,,,DALIA,
47331309-7449-4ed2-a2ed-8f221b93a018,,,DALIA,Data Literacy Alliance
839fd86b-fe75-4b54-9348-6217ff0a77d5,,,DANUBIUS-RI,
0393d642-340d-4641-8c1f-e9c8b27199bf,,,DAPHNE4NFDI,
37b5e739-3c6b-455e-bd01-d544062ed6f9,,,DARIAH,
64bd4aee-63c9-4bdb-bd18-b0986498e033,,,DARIAH Friday Frontiers,
8d2920d4-c148-4490-b1e4-af1d06d65d30,,,DCC,
5edec4dd-7eea-4edf-9cfc-ed158d3109e2,,,DCMI,DCMI Application Profiles Working Group
71ca2911-4e08-49b4-a548-2b5090db21c8,,https://ddialliance.org/training-materials,DDI,Data Documentation Initiative Alliance|DDI Training Community
0e6989fb-7685-4bda-880e-f4311a569b43,,,DESIR,
4d03308e-00e9-44de-9539-d636946e1d96,,https://digitale-philosophie.de/,DGPhil-AG,Philosophie & Digitalität
6ac3c503-6f19-4fab-8d8d-14d24fd3fb92,,,DHd,Digital Humanities im deutschsprachigen Raum
e58f61d0-ffe5-48f7-bf0a-e0d2b06cea86,,,DINI,DINI-AG KIM|Kompetenzzentrum Interoperable Metadaten (KIM)|DINI/nestor UAG Schulungen/Fortbildungen|Deutsche Initiative für Netzwerkinformation
51340f34-d6fc-4ed5-b37d-b00a4d6f663a,,,Data Carpentry,
ab138715-abc5-44b7-877b-ddd68709b243,,,Data Center for the Humanities der Universität zu Köln,
d996c08b-e39d-49d0-a492-7cb30d99c2b7,,,Data Science Center of the University of Bremen,
93306fd3-2785-4c84-be9d-d0931a62082f,,,DataCite,
fa16b39f-4bc1-4f48-beaf-cbd030d5a7b4,,,DataPLANT,
85ac08c2-c9e3-44d1-b8b1-e42157f0ee57,,,Delft University of Technology,
dd29af8f-8979-4e1a-a728-72a6d244e5e8,,,Digital Curation Centre,DCC Digital Curation Centre
5e7f6780-9c11-4bf2-95eb-f1bd8a11ab01,,,Digital Humanities,
3c7656ba-bba7-46be-bd06-967c37c7a1f5,,,Digital Preservation,
24b52746-d26f-479e-9cd5-f1db1b13f17f,,,EATRIS,
