DALIA_ID,Authors,License,Link,Title,Community,Description,Discipline,FileFormat,Keywords,Language,LearningResourceType,MediaType,ProficiencyLevel,PublicationDate,TargetGroup,RelatedWork,Size,Version
5860b31c-58f8-4b02-80ab-a191114f3a44,Lea Singson : {https://orcid.org/0009-0004-9978-8703} * Sophie Boße : {https://orcid.org/0009-0002-6461-8291},CC-BY-4.0,https://doi.org/10.4126/FRL01-006402743,Datenschutz auf dem Silbertablett - Don`t panic! Survival Guide on Law and Ethics in Research Episode I - Trainingsmaterial,FAIRagro (S) * NFDI4Biodiversity (R ) * NFDI4Earth (R),"""Im Rahmen der Legal Training Series 'Don’t panic! Survival guide for Law and Ethics in Research', organisiert von FAIRagro, NFDI4Biodiversity und NFDI4Earth, wurde vom 08. – 10.04.25 die erste Episode, Datenschutz auf dem Silbertablett, von Lea Singson und Sophie Boße durchgeführt: 'Du sammelst Proben auf landwirtschaftlich genutzten Flächen, du nutzt Drohnenaufnahmen, auf denen auch Menschen zu sehen sind, du nimmst im Park Vogelstimmen auf und erwischt dabei ein paar Gespräche  oder du möchtest Interviews mit Landwirt*innen oder Anwohnenden führen. Dabei ist eins klar: Wo Menschen sind, ist die Datenschutzgrundverordnung (DSGVO) nicht weit! Doch was will die DSGVO eigentlich und was hat das mit Dir zu tun? Musst Du datenschutzrechtliche Aspekte überhaupt beachten? In dieser Einheit arbeiten wir gemeinsam durch die praktisch relevanten Aspekte des Themas Datenschutz!  Wir klären was die DSGVO ist, für welche Art der Daten sie anwendbar ist und was in diesem Fall getan werden muss. Dabei unterstützen wir dich unter anderem dabei zu lernen, informierte Einwilligungen, bzw. Datenschutzerklärungen zu verfassen, die auch verständlich sind. Wir zeigen, wie du datenschutzrechtlich relevante Datenverarbeitungen beurteilen und begründen kannst und diskutieren, wie Forschungsdaten gerettet werden können, wenn die eingeholte Einwilligung widerrufen wird.' An dieser Stelle werden sowohl die Aufzeichnungen der nicht interaktiven Teile der Online-Workshops als auch alle verwendeten Trainingsmaterialien zur Verfügung gestellt. Zielgruppe dieser Veröffentlichung sind sowohl Personen, die eigenständig Inhalte zum Thema Datenschutz erlernen möchten, als auch Trainer:innen, die Konzept und Materialien der Workshops vollständig oder teilweise nachnutzen möchten. Das Lehrdrehbuch hilft bei der Konzeption von Veranstaltung und gibt einen Überblick über Themen, Lernziele und Zeitplanung des Workshops. Darüber hinaus sind Präsentationsfolien inklusive Vortragsnotizen, Arbeitsblätter und zentrale Linksdokumente, die mit den Teilnehmenden in Online-Workshops geteilt werden können verfügbar, die zur Nachnutzung angepasst werden können und sollten.  Alle Materialien sind für optimale Nachnutzbarkeit in verschiedenen Formaten verfügbar.  Eine Übersicht und Navigationshilfe der vorhandenen Ressourcen ist in der README Datei zu finden.""
",https://w3id.org/kim/hochschulfaechersystematik/n003 * https://w3id.org/kim/hochschulfaechersystematik/n353 * https://w3id.org/kim/hochschulfaechersystematik/n7,.pdf *.pptx * .odp * .xlsx * .ods *.docx *.odt * .mp4,Datenschutz* Forschungsdaten* Agrarwissenschaft* Erdsystemforschung* Umweltwissenschaften* Trainingsmaterialien* Open Educational Resources,de,https://w3id.org/kim/hcrt/video * https://w3id.org/kim/hcrt/slide *  https://w3id.org/kim/hcrt/lesson_plan * https://w3id.org/kim/hcrt/drill_and_practice * https://w3id.org/kim/hcrt/case_study * https://w3id.org/kim/hcrt/course * https://w3id.org/kim/hcrt/worksheet,video * text * presentation * image * multipart,novice * advanced beginner,2025-06-01,teacher (higher education) * data steward * researcher,,,
16dc4c52-3be5-43fd-a3a0-fb1c794b8a55,"Sabrina Jordan : {https://orcid.org/0000-0002-4248-6147} * Katrin Schröder * Sophie Boße : {https://orcid.org/0009-0002-6461-8291} * Elena Rey Mazón : {https://orcid.org/0000-0003-4813-5927}
",CC-BY-4.0,https://doi.org/10.4126/FRL01-006428881,Introduction to Research Data Management in Agricultural Sciences – Trainingmaterial,FAIRagro (S) * Research Data Service of the University of Kassel (R),"""This workshop was a collaboration between FAIRagro and the Research Data Service of the University of Kassel. It was specifically aimed at researchers from the Faculty of Ecological Agricultural Sciences at the University of Kassel. In this first introductory lecture, participants learned why and how the conscious management and publication of their data can be beneficial for them and their future research life. Therefore, we first gave an overview of the most important aspects of handling research data. Participants were familiarised with the general concepts of research data management (RDM) and learned which tools and services can help to manage agricultural research data throughout its lifecycle. We gave insights into FAIRagro's work on a data infrastructure that makes agricultural systems research data findable, accessible, interoperable and reusable (FAIR). We also presented tools and services that the University of Kassel provides for its researchers.  After this introductory session, participants were invited to vote for up to two topics from the FDM that they would like to learn more about.  You can find the presentation slides and the teaching script (in German) here. The script will help you to plan and structure the training session. You are welcome to reuse it for your own purpose.""
",https://w3id.org/kim/hochschulfaechersystematik/n003 * https://w3id.org/kim/hochschulfaechersystematik/n353,.pdf *.pptx * .odp * .xlsx * .ods *.docx *.odt *,Research Data Management * Agricultural Science * Trainingmaterial,de * en,https://w3id.org/kim/hcrt/lesson_plan * https://w3id.org/kim/hcrt/drill_and_practice * https://w3id.org/kim/hcrt/slide,presentation * image * multipart,novice,2025-06-01,teacher (higher education) * data steward * researcher,isSupplementedBy: https://doi.org/10.4126/FRL01-006428850 * isSupplementedBy: https://doi.org/10.4126/FRL01-006426819,,
9b8b4cb2-f5f7-42bb-888f-7f3ac0985f6d,Sabrina Jordan : {https://orcid.org/0000-0002-4248-6147} * Sophie Boße : {https://orcid.org/0009-0002-6461-8291} * Lucia Vedder : {https://orcid.org/0000-0002-8924-9800} * Gabriel Schneider : {https://orcid.org/0000-0001-6573-3115},CC-BY-4.0,https://doi.org/10.4126/FRL01-006428850,"Research Data Management in Agricultural Sciences -
Advanced module: Data documentation - Trainingmaterial",FAIRagro (S) * Research Data Service of the University of Kassel (R),"""This workshop was a collaboration between FAIRagro and the Research Data Service of the University of Kassel. It was specifically aimed at researchers from the Faculty of Ecological Agricultural Sciences at the University of Kassel, but open for agricultural researcher from other institutions.  In this in-depth workshop, participants learned why and how properly documenting their data can benefit them and their future research life, as well as others. The key questions were answered: Why Data Documentation? What to Document? Which Method for Data Documentation? Which tools are usable for Documentation? How to increase metadata interoperability? Therefore, we covered methods such as README files, data dictionaries, commented code, metadata and metadata standards, tools such as electronic lab notebooks and electronic field books, and concepts such as persistent identifiers and controlled vocabularies. We also took a closer look at examples of particular interest to agricultural researchers, such as MIAPPE and AGROVOC. You can find the presentation slides and the teaching script (in German) here. The script will help you to plan and structure the training session. You are welcome to reuse it for your own purpose.""",https://w3id.org/kim/hochschulfaechersystematik/n003 * https://w3id.org/kim/hochschulfaechersystematik/n353,.pdf *.pptx * .odp * .xlsx * .ods *.docx *.odt *,Agricultural Research Data* Trainingsmaterial* Data Documentation* Metadata Standards* controlled vocabularies* AGROVOC,de * en,https://w3id.org/kim/hcrt/lesson_plan * https://w3id.org/kim/hcrt/drill_and_practice * https://w3id.org/kim/hcrt/slide,presentation * image * multipart,novice * advanced beginner,2025-06-01,teacher (higher education) * data steward * researcher,isSupplementTo: https://doi.org/10.4126/FRL01-006428881 * isSupplementedBy: https://doi.org/10.4126/FRL01-006426818,,
5499542c-f52f-4c9f-9675-305b4bfb3b56,Sabrina Jordan : {https://orcid.org/0000-0002-4248-6147} * Sophie Boße : {https://orcid.org/0009-0002-6461-8291} *  Elena Rey Mazón : {https://orcid.org/0000-0003-4813-5927} * Wahib Sahwan : {https://orcid.org/0000-0002-6503-5525} * Nikolai Svoboda : {https://orcid.org/0000-0003-3860-4400},CC-BY-4.0,https://doi.org/10.4126/FRL01-006426818,Research Data Management in Agricultural Sciences - Advanced module: Data publication – Trainingsmaterial,FAIRagro (S),"""This workshop was a collaboration between FAIRagro and the Research Data Service of the University of Kassel. It was specifically aimed at researchers from the Faculty of Ecological Agricultural Sciences at the University of Kassel. In this first interactive workshop, participants learned why and how publishing their data can benefit them and their future research life. We gave an overview of where agricultural research data can be published, how to find a suitable repository and what legal aspects to consider. For a practical example, we gave a live demonstration of the publication process in the BonaRes repository. You can find the presentation slides and the teaching script (in German) here. The script will help you to plan and structure the training session. You are welcome to reuse it for your own purpose.""
",https://w3id.org/kim/hochschulfaechersystematik/n003 * https://w3id.org/kim/hochschulfaechersystematik/n353,.pdf *.pptx * .odp * .xlsx * .ods *.docx *.odt *,Agricultural Research Data* Trainingsmaterial* Research Data Management* Data Publication* Licenses* Repositories* BonaRes,de * en,https://w3id.org/kim/hcrt/lesson_plan * https://w3id.org/kim/hcrt/drill_and_practice * https://w3id.org/kim/hcrt/slide,presentation * image * multipart,novice * advanced beginner,2025-06-01,teacher (higher education) * data steward * researcher,isSupplementTo: https://doi.org/10.4126/FRL01-006428881 * isSupplementedBy: https://doi.org/10.4126/FRL01-006428850,,
d6fa2100-e456-487b-9e54-4f54faf9890e,Sophie Boße : {https://orcid.org/0009-0002-6461-8291} * Birte Lindstädt : {https://orcid.org/0000-0002-8251-1597},CC-BY-4.0,https://doi.org/10.4126/FRL01-006511253,"FAIRagro Konzept für Training, Ausbildung und Bildungsmaterialien",FAIRagro (S) * Research Data Service of the University of Kassel (R),"""FAIRagro ist das Konsortium der Nationalen Forschungsdaten Infrastruktur (NFDI) für die Agrosystemforschung, welches in einer ersten Förderphase von 2023 bis 2028 durch die DFG gefördert wird. In diesem Konzept werden die Ziele, Zielgruppen, Strategien und Maßnahmen erörtert, die FAIRagro verfolgt, um durch Training, Ausbildung und Open Educational Resources im Forschungsdaten Management den kulturellen Wandel hin zu einer offenen, FAIRen und nachhaltigen Forschungskultur des Bereitstellens und Teilens von Forschungsdaten in der Agrosystemforschung zu unterstützen. Zudem wird ein Ausblick auf mögliche Zielgruppen und Strategien in einer potentiellen zweiten Förderphase gegeben. Dieses Konzept ist auf Deutsch und auf Englisch verfügbar.""",https://w3id.org/kim/hochschulfaechersystematik/n003 * https://w3id.org/kim/hochschulfaechersystematik/n353,.pdf,Agrarwissenschaften * Forschungsdatenmanagement * Training * Education * Konzept,de,https://w3id.org/kim/hcrt/text,text,advanced beginner * competent * proficient * expert,2025-06-01,teacher (higher education) * data steward * content provider,isSupplementedBy: https://doi.org/10.4126/FRL01-006511849,,
5b3bc506-fe50-40ac-b317-412c4d6cbc63,Sophie Boße : {https://orcid.org/0009-0002-6461-8291} * Birte Lindstädt : {https://orcid.org/0000-0002-8251-1597},CC-BY-4.0,https://doi.org/10.4126/FRL01-006511849,"FAIRagro Concept for Training, Education and Educational Resources",FAIRagro (S) * Research Data Service of the University of Kassel (R),"""FAIRagro is the consortium of the National Research Data Infrastructure (NFDI) for agrosystems research, which is funded by the DFG in a first funding phase from 2023 to 2028. This concept discusses the goals, target groups, strategies and measures that FAIRagro is pursuing in order to support the cultural change towards an open, FAIR and sustainable research culture of providing and sharing research data in agrosystems research through training, education and open educational resources in research data management. In addition, an outlook is given on possible target groups and strategies in a potential second funding phase. This concept is available in German and English.""",https://w3id.org/kim/hochschulfaechersystematik/n003 * https://w3id.org/kim/hochschulfaechersystematik/n353,.pdf,Training * Education * agricultural science * research data management * concept,en,https://w3id.org/kim/hcrt/text,text,advanced beginner * competent * proficient * expert,2025-07-01,teacher (higher education) * data steward * content provider,isBasedOn: https://doi.org/10.4126/FRL01-006511253,,
